HahaScaling (Scaling Vectors):
-1.763897 -1.970185 -1.793771
-2.254785 -2.245286 -0.4340135
-1.418563 -1.416608 -1.138033
0.5851639 -2.277606 -1.170481
-2.254277 -2.303219 -1.162959
-0.2289108 -2.603824 -0.7204247
-1.223081 -2.584419 0.3252805
-0.2872005 -1.371527 -0.6246011
-0.6856961 -1.559962 -0.6104568
-1.633988 -2.950886 -1.598834
-1.316072 -2.904645 -1.314625
-0.6425542 -3.568244 -1.676833
-2.279771 -1.05372 -0.4604474
-0.2001203 -2.59807 -0.7956479
-1.178591 -2.736984 -1.894804
-0.4244646 -1.650787 0.3065299
-1.468438 -2.767327 -1.187489
-1.015488 -3.174718 -0.4630345
-1.342237 -3.095784 -1.596797
-1.486377 -2.253401 -1.15074
-1.163464 -1.533204 -1.308813
-1.097134 -2.788044 -0.3208232
-1.285017 -3.884108 -0.9466791
-0.9024234 -2.441634 -0.9095757
-1.516602 -2.562608 -0.4299559
-1.155546 -2.338499 -0.9537304
0.006380453 -1.746656 -1.638016
-0.5862586 -2.851937 0.06240815
-2.261992 -1.46133 0.1938272
-1.499316 -2.956769 -0.5360457
-0.08771311 -1.874439 -2.082591
-0.2147979 -1.908049 -1.276574
-1.457739 -1.908533 -1.36678
-0.8197618 -2.628727 -1.198926
-0.8582083 -2.608988 0.2352857
-0.1596776 -2.197507 -0.9826965
-2.208871 -1.614782 0.03590357
-1.440876 -1.935436 -0.6844199
-1.154846 -3.110026 -1.222007
-1.199401 -2.634411 -1.491724
-1.141186 -2.654044 -0.4237982
-1.326465 -2.362178 -1.43457
-1.453729 -2.859656 -1.417902
-0.464394 -2.723155 -0.8695888
-0.3705365 -2.1921 -1.017536
-1.1964 -1.906744 -0.938486
-1.415295 -3.577614 -1.571517
-1.620866 -3.013887 -0.4180063
-1.92028 -2.732246 -0.7605866
-1.126021 -2.14734 -0.881161
-1.446037 -3.209359 -0.2986585
-2.081277 -1.964981 -0.3134854
-1.038903 -2.18409 -1.300963
-0.2109086 -1.796949 -0.2790318
-0.1029926 -3.533086 0.5354893
-0.4521929 -2.614889 -1.146396
-0.9605476 -2.042223 -0.3608435
-0.9118611 -3.399276 -0.4864796
-1.513897 -2.880202 -1.946556
-1.418191 -2.426324 -0.7070587
-1.612034 -2.735766 -2.488569
-0.7383462 -2.619571 -2.66786
-1.526382 -2.16142 -1.495974
-0.6415167 -2.085975 -1.243843
-0.9687113 -3.516361 -0.7306406
-0.4993486 -2.116419 -1.713961
-1.262197 -2.810578 -0.83655
-0.2642332 -1.942155 -1.295838
-2.031902 -2.769976 -0.7114686
-0.3837991 -2.731314 -1.539162
-1.145822 -2.981978 -0.2496658
-0.7782623 -2.206271 -0.7707686
