RBuffer (Rotation Quaternions):
0.06984494 0.7598884 -0.5755494 0.293997
-0.2387566 -0.5577889 0.7075875 -0.362197
0.04983734 0.7113568 -0.6959803 0.08425729
0.4408356 -0.4756899 0.5905757 0.4802118
0.2867212 0.5706857 0.6836445 -0.353184
0.02692618 -0.6952113 0.7049308 -0.1379447
-0.02635098 0.7322171 -0.6692914 0.1233394
0.02935001 0.7147815 -0.696615 0.05434476
-0.01845904 0.7080835 -0.7045278 0.04379092
0.05804296 0.7357824 -0.6667064 0.1037197
-0.01141609 0.7378301 -0.6573446 0.1528867
-0.006652743 -0.6425224 0.7331318 -0.2227967
-0.03704405 -0.6216951 0.7531878 -0.2117334
0.6301767 0.1776366 0.2815427 0.7014672
0.6700704 0.1612621 0.2834634 0.6668198
0.05874766 -0.08959283 0.1140495 0.9876813
0.1382332 0.1145896 -0.4913783 0.852237
0.1204382 -0.1989801 0.08948775 0.9684489
-0.05105099 0.9881337 -0.1329899 -0.05743954
0.1883496 0.9349511 -0.1992489 0.2251457
0.5153424 0.4884052 0.2755486 0.6480398
0.04821068 0.6726564 -0.5070951 -0.5367156
0.36043 0.02056861 -0.04613063 0.9314178
0.4355664 0.577708 -0.2100407 0.6575853
